,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
139,93.43405696,BMW Group,0,1,0,15,0,0,0,0,4,0,0,0,0,5,43,0,5,0
140,47.31479982,BNP Paribas SA,0,0,20,0,0,0,0,0,4,30,0,0,0,2,4,54,0,0
141,21.69309879,BOC Hong Kong (Holdings) Limited,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,43.0844793,BP p.l.c.,1,16,0,12,0,0,0,2,0,0,0,0,1,16,1,0,0,0
143,0.902915779,"Brother Industries, Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,0.902915779,"Korea Aerospace Industries, Ltd.",0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,0,0,0
145,71.49534406,BT Group PLC,0,0,0,0,0,0,1,0,1,9,0,0,0,4,3,2,0,0
146,10.0469273,"Baidu, Inc.",0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,0,0
147,28.26024966,Bajaj Auto Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
148,42.11522344,Ball Corp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,74.2841369,Banco Bilbao Vizcaya Argentaria SA,0,1,1,0,0,0,0,3,0,9,0,0,0,2,16,14,0,0
150,62.90284044,Banco Bradesco S.A.,0,0,1,0,0,0,0,0,1,7,0,0,0,2,8,0,0,0
151,43.00004625,"Banco Santander, S.A.",0,0,10,0,0,0,0,0,20,19,0,0,0,4,0,41,0,0
152,42.68823641,Banco Santander-Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
153,40.00187542,Banco De Chile,0,1,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0
154,79.77940869,Banco de Crédito e Inversiones,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
155,87.77052373,"Banco de Sabadell, S.A.",0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,24,0,0
156,56.22054133,Banco do Brasil S.A.,0,1,1,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0
157,5.342371349,Bank Albilad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,55.61219316,PT Bank Central Asia Tbk,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,84.80528118,Bank Millennium SA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
160,20.60351167,Bank Pekao S.A.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,49.73139394,PT Bank Rakyat Indonesia (Persero) Tbk,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,9.740365356,Bank of America Corporation,0,0,22,0,0,0,0,4,6,48,0,0,0,4,32,67,0,0
163,14.45426644,Agricultural Bank of China Limited,0,1,5,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0
164,20.57070972,"Bank of Communications Co., Ltd.",0,2,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0
165,15.3230014,Bank Of Ningbo Co Ltd,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
166,8.745611397,Bank of Queensland Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,63.09491646,Bank of The Philippine Islands,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
168,94.06231392,"Bankinter, S.A.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
169,10.49180458,Banque Saudi Fransi,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
170,42.43914494,"Baoshan Iron & Steel Co., Ltd.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
171,28.22237844,Barclays PLC,0,0,18,0,0,0,0,0,6,15,69,0,0,8,24,38,0,0
172,58.09139073,Barratt Developments PLC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
173,86.28944287,Barrick Gold Corp,0,0,0,0,9,0,0,0,8,0,0,0,0,6,3,0,9,0
174,55.89040406,Barry Callebaut AG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,47.79074337,Baxter International Inc,0,2,0,0,0,0,0,2,0,0,0,0,0,4,3,2,0,0
176,73.35039782,Bayer AG,0,1,0,32,0,0,0,12,1,0,0,0,0,4,38,0,111,0
177,68.43638702,"Becton, Dickinson and Co",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18,0,0
178,8.288394098,Beiersdorf AG,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
179,21.67289551,Beijing Capital International Airport Company Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
